chuva_mm,ph_solo,temp_c,nitrogenio,densidade,rendimento_alto
110.7,7.58,15.6,67.0,1.16,1
63.6,6.06,22.3,53.2,1.3,0
126.3,5.99,24.8,47.4,1.31,1
132.9,5.81,26.9,53.6,1.44,1
31.7,6.67,27.6,24.6,1.38,0
54.4,6.98,28.0,29.0,1.32,0
104.5,6.23,22.3,31.2,1.46,0
88.9,5.8,21.7,37.0,1.14,0
99.4,5.81,28.3,62.2,1.2,1
70.1,6.69,23.0,38.7,1.17,0
130.8,6.75,17.6,48.2,1.23,1
127.2,6.63,18.3,78.4,1.11,1
102.3,5.9,19.4,48.6,1.36,0
139.5,6.44,26.5,68.3,1.25,1
116.4,6.37,24.7,38.2,1.1,1
69.9,6.43,27.5,51.3,1.16,0
112.9,6.82,21.9,37.9,1.32,1
66.4,6.43,24.8,48.9,1.38,0
130.7,6.71,27.1,70.1,1.52,1
98.3,6.34,22.5,23.9,1.63,0
93.5,6.47,26.3,62.8,1.33,1
76.2,6.68,20.7,59.3,1.16,0
142.8,5.43,22.2,44.3,1.02,1
94.6,6.11,22.1,29.0,1.31,0
85.0,6.02,18.0,56.3,1.18,0
87.7,5.92,26.4,45.5,1.23,0
118.6,6.13,21.7,59.2,1.21,1
112.8,7.2,24.1,55.4,1.26,1
114.4,5.78,26.4,83.8,1.41,1
115.1,6.88,26.2,50.7,1.3,1
